Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
Permatex Copper Anti Seize Lubricant Premium Quality in Pakistan,11000,Pakistan Power Tool,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 14 into Parts inventory.,,,,,,Substances,14,INV-0129,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Rejected wrong item - Portable 12-Way Car Fuse Box Universal Automotive Box Holder with Led Indicator,"",Mughal,No,No,not_required,wrong_item_not_purchased,wiring_material,replace_or_procure,not_required,not_required,Correction 2026-05-03: this generic Portable 12-Way universal fuse box was not purchased and must not be treated as cabin fuse-box stock. Keep Parts row 55 relay block as received/as specified. Cabin fuse boxes remain a separate open buy: likely 3 compact covered blade-fuse boxes.,,,,,,Wiring,33,INV-0081,Not required,0,wrong fuse-box candidate; compact cabin fuse boxes still open (2026-05-03),DO_NOT_BUY,none,user_correction_2026-05-03_not_bought,high,low,local_pk
RAPTOR LINER TINTABLE STANDARD 3.8L KIT,39900,adenwalla,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 15 into Parts inventory.,,,,,,Substances,15,INV-0130,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Relay Box 12V 10 Way Relay Block and 10 Way ATC/ATO Blade Fuse Pane,37924,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 28 into Parts inventory.,,,,,,Wiring,28,INV-0079,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
roof,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,planned_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=fj40-00133|fj40-00229|akber_khan-00796 | Retain roof refresh path with channel repair; replace only if repair scope fails.,✓,,,,,Restore_Replace,2,INV-0139,P5 - Later phase,5,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,low,"photo_group=roof_and_gutters; group_photo_count=4; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
ROST FLASH PRO,1365,adenwalla,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Freeing bolts | Evidence indicates purchased/received. | Migrated from Substances row 13 into Parts inventory.,,,,,,Substances,13,INV-0128,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
rubbers_and_seals,existing,,Y,,body_and_weather_seal,refurbish_service_subcomponents,existing_component,restore_and_reuse,existing_reuse,reuse_existing,RR action=service_mechanisms_and_rubbers_before_refit; evidence=akber_khan-00796|akber_khan-00797,✓,,,,,Restore_Replace,8,INV-0145,Done / On hand,0,status,REFRESH_EXISTING,low,"photo_group=rubbers_and_seals; group_photo_count=1; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Sanden-type compressor,re-use,,,,,,existing_component,restore_and_reuse,existing_reuse,reuse_existing,"Marked for re-use, not replacement purchase.",✓,,,,,Parts,8,INV-0007,Done / On hand,0,status,REFRESH_EXISTING,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Steelmate Central Locking System,4680,Autostore.pk,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,7,INV-0006,Done / On hand,0,status,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Toyota Land Cruiser FJ40 Neoprene Top Cover - Model 1960-1984,11500,Autozcare,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,2,INV-0001,Done / On hand,0,status,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Universal 4-inch Switch Panel 3pcs,4290,chaudhryautostore,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Rocker Switches | Evidence indicates purchased/received. | Migrated from Wiring row 57 into Parts inventory.,,,,,,Wiring,57,INV-0097,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
VMD Brake and Clutch Cleaner 400ML × 1,1840,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 19 into Parts inventory.,,,,,,Substances,19,INV-0133,Done / On hand,0,status,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
VMD Unlocking Protective Lubricating Agent 200ML × 1,1060,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 18 into Parts inventory.,,,,,,Substances,18,INV-0132,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
WD-40 Multi-Use Product Handy Can 200ml (Pack Of 3),2300,adenwalla,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 16 into Parts inventory.,,,,,,Substances,16,INV-0131,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
window_hardware,existing,,Y,,body_and_weather_seal,refurbish_service_subcomponents,existing_component,restore_and_reuse,existing_reuse,reuse_existing,RR action=service_mechanisms_and_rubbers_before_refit; evidence=akber_khan-00796,✓,,,,,Restore_Replace,7,INV-0144,Done / On hand,0,status,REFRESH_EXISTING,low,"photo_group=window_hardware; group_photo_count=1; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
windows,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,planned_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=akber_khan-00568|akber_khan-00796 | Glass/frame retained; inspect seals at final fit-up before buying replacements.,✓,,,,,Restore_Replace,4,INV-0141,P5 - Later phase,5,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,low,"photo_group=window_hardware; group_photo_count=1; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Wire Insulation Heat Shrink Tubes,3999,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 102 into Parts inventory.,,,,,,Wiring,102,INV-0120,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Maximus Under Seat Subwoofer Box With Built in Amplifier - Compact Active Bass Woofer for Cars,25100,SehgalMotors.PK,,Cancelled?,revovate existing,,replacement_part,cancelled,cancelled,cancelled,Marked cancelled.,cancelled,,,,,Parts,3,INV-0002,Cancelled,99,status,CANCELLED,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Universal Android LCD Tab 9 Inches With Wiring - Without Main Grip × 1,14600,"
]ehgalMotors.PK",,Cancelled?,,,replacement_part,cancelled,cancelled,cancelled,Marked cancelled.,cancelled,,,,,Parts,4,INV-0003,Cancelled,99,status,CANCELLED,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
"Hidden evaporator/heater/defrost unit, compact Mini-size (Vitz donor)",,Bilal Ganj,No,,pre_dash_refit,quote_at_bilal_ganj_vitz_cabin_hvac,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,"Quote pending via Bilal Ganj. Take from one early-2000s manual-AC Toyota Vitz donor, cabin-side only. Include evaporator core, heater core, blower motor, TXV, blower resistor, ducts, and intact pigtails if attached. Do not include the 3-knob control panel; that is already on hand.",Q,,,High,Bilal Ganj quote pending,Parts,16,INV-0257,P3 - Audit then buy,3,"P3 cabin HVAC donor quote (manual-AC Vitz, cabin side only)",SERVICE_OR_NEW,medium,photo_group=documentation_reference; donor_selection=bilal_ganj_vitz_manual_ac,high,medium,local_pk_or_on_hand
Slim under-dash louver outlet panel (Vitz donor),,Bilal Ganj,No,,pre_dash_refit,quote_at_bilal_ganj_vitz_cabin_hvac,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,"Quote pending via Bilal Ganj. Take from the same early-2000s manual-AC Toyota Vitz donor, cabin-side only.",Q,,,High,Bilal Ganj quote pending,Parts,17,INV-0258,P3 - Audit then buy,3,"P3 cabin HVAC donor quote (manual-AC Vitz, cabin side only)",SERVICE_OR_NEW,medium,photo_group=documentation_reference; donor_selection=bilal_ganj_vitz_manual_ac,high,medium,local_pk_or_on_hand
Separate 3-knob control panel (Vitz donor),,On hand,Y,Y,pre_dash_refit,use_existing_3_knob_control,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,User confirmed the 3-knob control is already on hand; no purchase needed for this control panel.,✓,,,High,Bilal Ganj quote pending,Parts,18,INV-0259,P3 - Audit then buy,3,covered by on-hand 3-knob control panel,INSPECT_THEN_DECIDE,medium,photo_group=documentation_reference; donor_selection=bilal_ganj_vitz_manual_ac,high,low,local_pk_or_on_hand
2.5-inch duct hose and defrost hose kit (Vitz donor),,Bilal Ganj,No,,pre_dash_refit,quote_at_bilal_ganj_vitz_cabin_hvac,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,"Quote pending via Bilal Ganj. Take from the same early-2000s manual-AC Toyota Vitz donor, cabin-side only.",Q,,,High,Bilal Ganj quote pending,Parts,19,INV-0260,P3 - Audit then buy,3,"P3 cabin HVAC donor quote (manual-AC Vitz, cabin side only)",SERVICE_OR_NEW,medium,photo_group=documentation_reference; donor_selection=bilal_ganj_vitz_manual_ac,high,medium,local_pk_or_on_hand
Drain hose and mounting kit (Vitz donor),,Bilal Ganj,No,,pre_dash_refit,quote_at_bilal_ganj_vitz_cabin_hvac,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,"Quote pending via Bilal Ganj. Take from the same early-2000s manual-AC Toyota Vitz donor, cabin-side only.",Q,,,High,Bilal Ganj quote pending,Parts,20,INV-0261,P3 - Audit then buy,3,"P3 cabin HVAC donor quote (manual-AC Vitz, cabin side only)",SERVICE_OR_NEW,medium,photo_group=documentation_reference; donor_selection=bilal_ganj_vitz_manual_ac,high,medium,local_pk_or_on_hand
GREZ OFF HD DEGREASER- Spray Nine (32 oz.) × 1,3250,Autohub Pakistan,No,Y,in_flight_now,track_in_flight_order,consumable_material,replace_or_procure,ordered_in_flight,ordered_in_flight,Added 2026-04-27 per user update: ordered paid and not yet received. Selected as the primary larger-format degreaser for engine/chassis cleanup.,ordered/in-flight,,,,,Manual,,INV-0262,P1 - In flight / immediate,1,user_update_2026_04_27_cleaning_supplies_ordered,BUY_NEW,medium,autohub_grez_off_order_marked_2026_04_27,high,low,local_pk_or_on_hand
WD-40 ENGINE DEGREASER (500ML) × 1,2399,Autohub Pakistan,No,Y,in_flight_now,track_in_flight_order,consumable_material,replace_or_procure,ordered_in_flight,ordered_in_flight,Added 2026-04-27 per user update: ordered paid and not yet received. Tracked as the tighter-reach foaming engine-bay degreaser complement to the main bulk cleaner.,ordered/in-flight,,,,,Manual,,INV-0263,P1 - In flight / immediate,1,user_update_2026_04_27_cleaning_supplies_ordered,BUY_NEW,medium,autohub_wd40_engine_degreaser_order_marked_2026_04_27,high,low,local_pk_or_on_hand
